
             SystemC 2.2.0 --- Apr 17 2012 15:58:44
        Copyright (c) 1996-2006 by all Contributors
                    ALL RIGHTS RESERVED
ArchC: Reading ELF application file: /home/gabriel/a.out
 <--> BUS TRANSACTION: WRITE 0xEA00003E @0x0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEA00004C @0x4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEA00009C @0x8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEA00004A @0xC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEA000049 @0x10 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x14 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEA00008D @0x18 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEA000046 @0x1C (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x20 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x24 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x28 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x2C (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x30 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x34 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x38 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x3C (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x40 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x44 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x48 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x4C (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x50 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x54 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x58 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x5C (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x60 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x64 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x68 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x6C (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x70 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x74 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x78 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x7C (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x80 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x84 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x88 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x8C (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x90 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x94 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x98 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0x9C (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xA0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xA4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xA8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xAC (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xB0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xB4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xB8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xBC (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xC0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xC4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xC8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xCC (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xD0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xD4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xD8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xDC (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xE0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xE4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xE8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xEC (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xF0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xF4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xF8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x0 @0xFC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE30F0FEE @0x100 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE321F0D3 @0x104 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A0DCFF @0x108 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE321F0DF @0x10C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A0DCFE @0x110 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE321F0D1 @0x114 (bootmem)
